date,open,high,low,close,volume,average,barCount
2024-05-24,6.73,6.76,6.36,6.52,14198,6.589,5299
2024-05-28,6.6,6.905,6.57,6.62,32622,6.71862,11460
2024-05-29,6.42,6.54,6.295,6.42,21242,6.37647,8130
2024-05-30,6.45,6.71,6.37,6.61,21230,6.54862,7673
2024-05-31,6.64,7.0,6.39,6.42,28735,6.60694,9954
2024-06-03,6.46,6.47,5.85,6.2,37997,6.10492,13157
2024-06-04,6.2,6.295,6.07,6.15,16261,6.1737,6387
2024-06-05,6.18,6.54,6.1002,6.36,22077,6.32094,8301
2024-06-06,6.25,6.31,6.03,6.09,16574,6.13649,5769
2024-06-07,5.99,6.36,5.9057,6.1,19617,6.08391,7246
2024-06-10,6.11,6.265,5.93,6.24,22764,6.09667,8686
2024-06-11,6.12,6.675,5.9,5.96,36919,6.22077,10892
2024-06-12,6.15,6.155,5.49,5.6,42128,5.67948,14947
2024-06-13,5.63,5.915,5.53,5.87,22089,5.7407,7607
2024-06-14,5.92,6.05,5.66,5.96,19469,5.883,8149
2024-06-17,5.91,6.2,5.79,5.83,29731,5.91875,11877
2024-06-18,5.84,6.35,5.8,6.23,20465,6.10307,8443
2024-06-20,6.43,7.37,6.33,6.5,55892,6.81451,17404
2024-06-21,6.7,7.349,6.5,7.26,52911,7.02334,17270
2024-06-24,7.5,7.63,7.17,7.34,39714,7.37924,15623
2024-06-25,7.22,7.36,6.99,7.27,21925,7.15879,8739
2024-06-26,7.27,7.27,6.74,6.77,22065,6.87685,8213
2024-06-27,6.67,6.74,6.31,6.54,20898,6.47041,7065
2024-06-28,6.5,6.555,6.2,6.32,21388,6.33821,9163
2024-07-01,6.39,6.65,6.24,6.27,17415,6.41338,6569
2024-07-02,6.28,6.28,6.01,6.18,12899,6.12583,4354
2024-07-03,6.18,6.345,6.17,6.28,5824,6.26335,2340
2024-07-05,6.18,6.38,6.1379,6.36,9466,6.27974,4007
2024-07-08,6.4,6.77,6.4,6.64,13258,6.64005,5256
2024-07-09,6.56,6.6177,6.37,6.5,8376,6.46433,3309
2024-07-10,6.42,6.58,6.42,6.58,8869,6.49269,3104
2024-07-11,6.73,6.8,6.61,6.7,13103,6.70972,5018
2024-07-12,6.75,6.844,6.6,6.62,11967,6.69853,4586
2024-07-15,6.67,6.705,6.325,6.36,16411,6.47708,7708
2024-07-16,6.45,6.58,6.33,6.4,16743,6.43366,7850
2024-07-17,6.36,6.36,6.065,6.13,18404,6.15641,6343
2024-07-18,6.15,6.31,5.82,5.98,21298,5.9829,7021
2024-07-19,5.93,6.02,5.75,5.79,13899,5.82528,5088
2024-07-22,5.85,5.89,5.6,5.71,19098,5.66504,6550
2024-07-23,5.62,5.81,5.61,5.65,11350,5.69804,4908
2024-07-24,5.56,5.68,5.27,5.33,20942,5.45026,6375
2024-07-25,5.34,5.72,5.33,5.49,20264,5.52523,6566
2024-07-26,5.61,5.79,5.5175,5.61,12715,5.62506,4431
2024-07-29,5.61,5.625,5.32,5.43,21043,5.41712,6905
2024-07-30,5.4,5.545,5.2509,5.28,18916,5.34256,7700
2024-07-31,5.3,5.41,5.115,5.15,30397,5.25812,8502
2024-08-01,5.15,5.2,4.56,4.79,38168,4.84617,12940
2024-08-02,4.63,4.77,4.45,4.68,27373,4.6191,9409
2024-08-05,4.25,4.575,4.12,4.4,40667,4.37335,15856
2024-08-06,4.45,4.77,4.29,4.3,30030,4.4145,11068
2024-08-07,4.41,4.45,4.12,4.16,18502,4.23081,6789
2024-08-08,4.2,4.428,4.19,4.35,16096,4.32714,5567
