date,open,high,low,close,volume,average,barCount
2024-05-28,1.94,1.96,1.75,1.81,8326,1.82333,2790
2024-05-29,1.81,1.82,1.75,1.75,2876,1.77352,1130
2024-05-30,1.76,1.82,1.76,1.78,3800,1.79476,1648
2024-05-31,1.85,1.85,1.75,1.81,3037,1.79708,1151
2024-06-03,1.88,1.88,1.75,1.8,4346,1.79328,1289
2024-06-04,1.86,1.86,1.76,1.85,2841,1.8173,883
2024-06-05,1.99,2.24,1.8792,2.24,14514,2.11607,2689
2024-06-06,2.31,2.31,2.06,2.07,5102,2.14721,1362
2024-06-07,2.03,2.16,1.98,2.08,4866,2.06789,1264
2024-06-10,2.04,2.1,1.96,1.98,5328,2.00197,1903
2024-06-11,1.97,1.975,1.87,1.93,3845,1.9181,1433
2024-06-12,2.07,2.1194,1.98,2.0,4521,2.05483,1101
2024-06-13,2.02,2.02,1.84,1.85,5875,1.87927,1395
2024-06-14,1.83,1.88,1.8,1.8,3260,1.84176,1006
2024-06-17,1.8,1.855,1.77,1.78,3185,1.81026,726
2024-06-18,1.81,1.8591,1.78,1.83,2743,1.82848,1338
2024-06-20,1.85,1.87,1.79,1.8,2674,1.8147,821
2024-06-21,1.78,1.84,1.76,1.78,1728,1.79421,668
2024-06-24,1.77,1.83,1.71,1.77,3016,1.75081,606
2024-06-25,1.76,1.77,1.64,1.69,4994,1.68217,1136
2024-06-26,1.66,1.6799,1.575,1.61,3674,1.60855,1077
2024-06-27,1.69,1.69,1.59,1.65,1965,1.63524,536
2024-06-28,1.64,1.665,1.58,1.65,2571,1.62173,708
2024-07-01,1.64,1.68,1.58,1.61,3384,1.61087,1233
2024-07-02,1.59,1.62,1.55,1.56,1522,1.57272,455
2024-07-03,1.58,1.62,1.56,1.61,1906,1.58909,458
2024-07-05,1.56,1.6045,1.52,1.53,1900,1.55163,512
2024-07-08,1.57,1.655,1.5593,1.6,4320,1.59692,721
2024-07-09,1.59,1.69,1.56,1.66,2991,1.62965,604
2024-07-10,1.66,1.76,1.59,1.74,4451,1.68465,922
2024-07-11,1.85,1.995,1.83,1.97,8293,1.90986,1675
2024-07-12,2.0,2.05,1.795,1.94,6996,1.91829,1778
2024-07-15,1.9,1.97,1.87,1.95,1901,1.93047,449
2024-07-16,1.99,2.08,1.95,2.0,4687,2.00834,1246
2024-07-17,1.99,2.145,1.99,2.08,5912,2.07884,1428
2024-07-18,2.06,2.17,1.97,1.99,4355,2.05916,1147
2024-07-19,1.97,1.985,1.91,1.92,911,1.94879,332
2024-07-22,1.94,1.98,1.89,1.97,897,1.93093,238
2024-07-23,1.95,2.04,1.94,2.02,1582,2.01125,355
2024-07-24,2.01,2.0563,1.88,1.89,1955,1.92929,495
2024-07-25,1.91,2.09,1.9,2.07,3232,2.03677,815
2024-07-26,2.09,2.13,1.94,1.94,3272,1.99834,814
2024-07-29,1.94,2.05,1.9302,2.02,3221,2.01656,726
2024-07-30,2.01,2.07,1.94,1.95,3044,1.98546,719
2024-07-31,1.95,2.11,1.95,2.02,4158,2.03965,957
2024-08-01,2.06,2.06,1.91,1.95,4036,1.95759,986
2024-08-02,2.0,2.19,1.9,2.17,11203,2.08077,2144
2024-08-05,1.96,2.32,1.96,2.21,7987,2.17318,1946
2024-08-06,2.25,2.25,2.02,2.07,10216,2.10502,2261
2024-08-07,2.23,2.49,2.1,2.3,14395,2.33097,3046
2024-08-08,2.42,2.43,2.25,2.3,6316,2.31482,2023
2024-08-09,2.32,2.4,2.245,2.4,3462,2.33946,849
2024-08-12,2.38,2.3997,2.24,2.32,3297,2.29253,778
2024-08-13,2.28,2.489,2.28,2.43,3496,2.4171,1064
2024-08-14,2.47,2.57,2.442,2.54,5027,2.50771,1350
2024-08-15,2.58,2.785,2.49,2.74,7384,2.64134,2538
2024-08-16,2.74,3.145,2.65,2.81,24200,2.93366,5635
2024-08-19,2.83,2.86,2.645,2.73,8523,2.73553,2335
2024-08-20,2.69,2.78,2.59,2.76,9101,2.6831,1736
2024-08-21,2.7,2.8387,2.69,2.83,13328,2.73569,1986
2024-08-22,2.82,2.92,2.76,2.82,6417,2.83323,1616
2024-08-23,2.91,3.135,2.86,3.08,18275,3.04891,4038
2024-08-26,3.14,3.15,3.03,3.06,7165,3.09073,1724
2024-08-27,3.02,3.0599,2.91,2.99,10615,2.96078,1652
2024-08-28,3.0,3.02,2.83,2.85,5391,2.88798,1358
2024-08-29,2.83,2.87,2.59,2.63,10612,2.69553,2354
2024-08-30,2.67,2.72,2.47,2.62,11457,2.56043,2612
2024-09-03,2.61,2.77,2.585,2.65,6259,2.67078,1700
2024-09-04,2.64,2.7199,2.59,2.62,3406,2.65342,975
2024-09-05,2.62,2.63,2.54,2.54,3634,2.57392,890
2024-09-06,2.55,2.55,2.39,2.41,9374,2.43737,2212
2024-09-09,2.45,2.5794,2.39,2.55,5284,2.5236,1583
2024-09-10,2.51,2.53,2.4,2.41,6041,2.44767,1910
2024-09-11,2.41,2.4799,2.26,2.33,10922,2.31212,2292
2024-09-12,2.36,2.37,2.21,2.28,11141,2.26556,2452
2024-09-13,2.34,2.68,2.34,2.67,11755,2.56696,3577
2024-09-16,2.7,2.915,2.66,2.9,10859,2.80862,2352
2024-09-17,2.9,3.19,2.88,3.19,15210,3.08412,3022
2024-09-18,3.2,3.225,2.97,3.0,15189,3.09028,3313
2024-09-19,3.1,3.1,2.84,2.84,8788,2.95717,2215
2024-09-20,2.84,2.8777,2.795,2.83,3593,2.83692,1362
2024-09-23,2.82,2.8399,2.71,2.71,4004,2.75106,920
2024-09-24,2.71,2.74,2.65,2.74,3391,2.70045,979
2024-09-25,2.7,2.78,2.65,2.65,5605,2.71131,1073
2024-09-26,2.74,2.86,2.65,2.79,6158,2.78815,1784
2024-09-27,2.83,2.84,2.69,2.69,3240,2.75744,930
2024-09-30,2.69,2.79,2.65,2.73,4890,2.69829,630
2024-10-01,2.72,2.74,2.615,2.69,4026,2.66072,1088
2024-10-02,2.65,2.73,2.63,2.73,3268,2.68026,1216
2024-10-03,2.67,2.7,2.61,2.64,5135,2.64936,1991
2024-10-04,2.7,2.7,2.37,2.42,11722,2.45398,2080
2024-10-07,2.44,2.46,2.24,2.27,9677,2.30528,2514
2024-10-08,2.25,2.28,2.0607,2.12,10873,2.16039,2446
2024-10-09,2.1,2.21,2.06,2.17,11575,2.15072,3576
2024-10-10,2.12,2.15,2.03,2.04,8476,2.0599,2610
2024-10-11,2.04,2.14,1.995,2.13,9844,2.06417,2401
2024-10-14,2.14,2.14,2.015,2.02,7036,2.04634,1608
2024-10-15,2.04,2.12,2.03,2.04,6174,2.06901,2081
2024-10-16,2.07,2.225,2.05,2.21,7071,2.14627,2178
2024-10-17,2.22,2.31,2.11,2.14,5736,2.19102,1640
2024-10-18,2.13,2.18,2.125,2.13,3490,2.14844,712
2024-10-21,2.13,2.13,2.04,2.11,11584,2.07239,2225
2024-10-22,2.1,2.135,2.05,2.11,2741,2.09364,841
2024-10-23,2.09,2.135,2.04,2.09,14507,2.09603,1118
2024-10-24,2.1,2.12,2.06,2.11,3134,2.09761,837
2024-10-25,2.11,2.145,2.06,2.08,2717,2.09155,736
2024-10-28,2.08,2.2,2.08,2.17,3498,2.15152,654
2024-10-29,2.17,2.21,2.1544,2.17,2610,2.18227,656
2024-10-30,2.17,2.25,2.14,2.14,2166,2.20072,643
2024-10-31,2.16,2.17,2.06,2.12,6223,2.11545,1043
2024-11-01,2.13,2.16,2.06,2.07,7572,2.07724,1658
2024-11-04,2.15,2.15,2.045,2.08,7007,2.09614,1486
2024-11-05,2.08,2.17,2.035,2.15,6832,2.08802,1675
2024-11-06,2.51,2.58,2.1909,2.57,27590,2.40565,8336
2024-11-07,2.61,2.78,2.58,2.73,12397,2.71101,3314
2024-11-08,2.66,2.73,2.5801,2.65,11926,2.64554,2979
2024-11-11,2.74,2.9,2.705,2.81,10965,2.81407,2847
2024-11-12,2.72,2.86,2.66,2.77,11214,2.77769,3330
2024-11-13,2.77,2.8,2.56,2.59,9636,2.6504,2828
2024-11-14,2.62,2.62,2.465,2.55,11480,2.53345,2997
2024-11-15,2.53,2.5675,2.42,2.42,5602,2.46823,1398
2024-11-18,2.42,2.45,2.35,2.37,5077,2.4,1380
2024-11-19,2.36,2.385,2.305,2.32,6909,2.3349,2369
2024-11-20,2.3,2.315,2.22,2.27,8698,2.2702,2215
2024-11-21,2.28,2.37,2.265,2.33,7964,2.34617,2132
2024-11-22,2.33,2.405,2.326,2.34,5116,2.37796,1423
2024-11-25,2.4,2.505,2.4,2.42,9263,2.45794,2623
2024-11-26,2.36,2.39,2.31,2.31,2902,2.34541,869
2024-11-27,2.33,2.3462,2.245,2.3,5377,2.27995,1291
2024-11-29,2.29,2.315,2.25,2.25,2090,2.27115,681
2024-12-02,2.26,2.305,2.21,2.26,6565,2.25381,2158
2024-12-03,2.22,2.24,2.16,2.21,11731,2.20086,2888
2024-12-04,2.25,2.335,2.235,2.28,14741,2.29253,3189
2024-12-05,2.3,2.37,2.24,2.27,5387,2.27623,1806
2024-12-06,2.3,2.305,2.205,2.25,4551,2.24873,1326
2024-12-09,2.25,2.31,2.165,2.19,7804,2.21434,2457
2024-12-10,2.16,2.22,2.13,2.14,4892,2.15761,1591
2024-12-11,2.14,2.18,2.1,2.13,4079,2.1345,1423
2024-12-12,2.11,2.17,2.085,2.1,4785,2.10921,1229
