date,open,high,low,close,volume,average,barCount
2024-05-23,16.31,16.49,15.51,15.54,12154,15.818,5994
2024-05-24,15.55,16.23,15.55,15.96,10832,15.937,4541
2024-05-28,16.28,16.3,15.27,15.32,12587,15.552,5525
2024-05-29,15.09,15.38,15.01,15.16,8288,15.196,4536
2024-05-30,15.26,15.7,15.08,15.13,7956,15.277,3528
2024-05-31,15.2,15.45,14.88,15.13,7927,15.103,3918
2024-06-03,15.44,16.05,15.21,15.34,11553,15.492,5515
2024-06-04,15.19,15.52,15.16,15.31,7955,15.262,4345
2024-06-05,15.36,15.4,15.04,15.2,13218,15.201,5263
2024-06-06,15.1,15.54,14.57,14.93,17650,14.922,7222
2024-06-07,15.08,15.26,14.73,14.94,11608,14.951,5522
2024-06-10,14.19,14.85,13.95,14.34,27698,14.312,11664
2024-06-11,14.43,15.31,14.22,15.22,17289,14.818,7795
2024-06-12,15.75,16.5,15.14,15.17,14974,15.635,5978
2024-06-13,15.24,15.27,13.68,13.68,19785,14.115,7387
2024-06-14,13.4,13.84,13.2,13.66,12089,13.527,4861
2024-06-17,13.34,13.85,13.0,13.54,18499,13.405,7847
2024-06-18,13.4,14.07,13.24,13.77,15240,13.82,7757
2024-06-20,13.57,14.37,13.5,13.91,11254,14.058,5559
2024-06-21,13.83,14.02,13.32,13.4,12791,13.595,5622
2024-06-24,13.35,13.82,13.12,13.17,10615,13.35,4878
2024-06-25,13.08,13.08,12.46,12.55,16227,12.651,6590
2024-06-26,12.49,13.08,12.41,12.49,12809,12.663,6479
2024-06-27,12.49,12.56,12.22,12.42,9339,12.378,4658
2024-06-28,12.48,13.1,12.18,13.08,16588,12.775,7414
2024-07-01,13.08,13.22,12.7,12.96,8796,12.885,5239
2024-07-02,12.93,13.17,12.75,12.87,12948,12.895,5682
2024-07-03,12.88,12.97,12.41,12.49,6649,12.662,3568
2024-07-05,12.46,12.48,12.06,12.08,9832,12.217,4599
2024-07-08,12.2,12.76,11.95,12.73,19154,12.386,10296
2024-07-09,12.69,12.96,12.5,12.88,12511,12.747,6557
2024-07-10,13.05,13.15,12.05,12.4,19304,12.417,8516
2024-07-11,12.81,13.82,12.76,13.45,24468,13.23,11388
2024-07-12,13.6,14.59,13.27,13.96,33686,14.077,15729
2024-07-15,14.04,14.05,13.04,13.47,16785,13.393,9092
2024-07-16,13.82,14.86,13.8,14.79,20625,14.377,9621
2024-07-17,14.57,15.25,14.31,14.69,13843,14.709,7349
2024-07-18,14.83,15.44,14.2,14.33,13159,14.724,6415
2024-07-19,14.3,14.59,13.71,13.96,16947,14.129,9480
2024-07-22,14.04,14.16,13.46,13.68,18660,13.759,7982
2024-07-23,13.8,13.88,13.19,13.2,11203,13.445,5382
2024-07-24,13.05,13.39,12.63,12.72,12366,12.977,6029
2024-07-25,12.62,13.69,12.6,13.38,15749,13.405,9589
2024-07-26,13.65,13.93,13.39,13.81,10761,13.716,5986
2024-07-29,14.0,14.02,13.41,13.59,19424,13.652,9930
2024-07-30,15.26,15.44,12.21,12.26,50489,13.106,21493
2024-07-31,12.31,12.32,11.06,11.3,42211,11.445,18809
2024-08-01,11.19,11.38,10.32,10.66,36982,10.761,15340
2024-08-02,10.66,10.7,9.91,10.38,24838,10.224,10414
2024-08-05,9.65,10.76,9.45,10.63,25848,10.393,13177
2024-08-06,10.68,10.9,10.22,10.42,18914,10.41,8907
2024-08-07,10.54,10.77,9.9,9.93,16457,10.247,6962
2024-08-08,9.93,10.21,9.9,10.04,11540,10.049,5718
2024-08-09,10.07,10.26,9.56,9.62,13037,9.763,5849
2024-08-12,9.52,9.71,9.17,9.26,12959,9.291,5781
