date,open,high,low,close,volume,average,barCount
2024-05-24,10.83,11.02,10.83,10.95,326,10.904,188
2024-05-28,10.87,11.08,10.87,10.97,203,10.955,98
2024-05-29,10.91,11.15,10.91,11.1,198,11.059,150
2024-05-30,11.07,11.4,11.07,11.32,704,11.302,256
2024-05-31,11.39,11.8,11.38,11.78,1102,11.564,624
2024-06-03,11.86,11.86,11.27,11.3,640,11.366,395
2024-06-04,11.09,11.28,10.7,10.76,461,10.953,272
2024-06-05,10.81,10.92,10.54,10.61,947,10.63,552
2024-06-06,10.72,10.83,10.63,10.82,163,10.732,88
2024-06-07,10.85,11.02,10.66,10.68,832,10.844,374
2024-06-10,10.65,10.8,10.65,10.67,123,10.744,71
2024-06-11,10.65,10.85,10.65,10.74,248,10.767,102
2024-06-12,10.85,11.0,10.75,10.82,419,10.877,160
2024-06-13,10.93,10.99,10.83,10.89,129,10.906,90
2024-06-14,10.82,10.99,10.66,10.79,518,10.784,306
2024-06-17,10.85,10.99,10.52,10.56,319,10.62,143
2024-06-18,10.51,10.69,10.5,10.62,278,10.575,142
2024-06-20,10.51,10.74,10.5,10.53,163,10.538,105
2024-06-21,10.53,10.66,10.52,10.6,274,10.574,143
2024-06-24,10.59,10.71,10.5,10.68,160,10.549,63
2024-06-25,10.74,10.76,10.56,10.75,200,10.649,78
2024-06-26,10.65,11.04,10.65,10.95,343,10.954,137
2024-06-27,10.98,11.17,10.97,11.15,397,11.059,201
2024-06-28,11.22,11.31,11.07,11.21,318,11.214,198
2024-07-01,10.94,11.36,10.93,11.13,576,11.1,426
2024-07-02,11.01,11.13,10.97,11.0,619,11.024,164
2024-07-03,11.11,11.12,10.98,11.08,81,11.061,51
2024-07-05,11.1,11.22,11.04,11.2,284,11.131,172
2024-07-08,11.17,11.19,10.92,11.05,707,11.079,347
2024-07-09,10.95,11.14,10.75,11.01,439,10.984,116
2024-07-10,11.09,11.16,11.0,11.02,174,11.025,105
2024-07-11,11.08,11.2,10.98,11.07,127,11.124,70
2024-07-12,11.08,11.25,11.05,11.22,713,11.145,318
2024-07-15,11.22,11.25,11.09,11.15,266,11.176,145
2024-07-16,11.21,11.74,11.21,11.53,508,11.536,266
2024-07-17,11.72,11.78,11.48,11.57,681,11.656,289
2024-07-18,11.6,11.61,11.15,11.17,184,11.346,90
2024-07-19,11.31,11.34,11.16,11.17,73,11.231,49
2024-07-22,11.14,11.25,11.11,11.17,264,11.159,99
2024-07-23,11.18,11.18,10.94,11.02,352,11.04,149
2024-07-24,11.03,11.3,11.0,11.01,306,11.112,176
2024-07-25,11.11,11.13,10.94,10.96,128,11.07,95
2024-07-26,11.0,11.26,10.99,11.05,322,11.09,176
2024-07-29,11.08,11.23,10.97,11.0,488,11.147,306
2024-07-30,11.0,11.03,10.82,10.93,120,10.916,67
2024-07-31,10.95,11.36,10.92,11.1,211,11.157,138
2024-08-01,11.32,11.32,10.73,10.81,155,10.824,73
2024-08-02,10.51,10.91,9.76,10.12,1080,10.068,460
2024-08-05,9.71,10.1,9.71,9.95,863,9.946,417
2024-08-06,9.95,10.35,9.95,10.11,241,10.155,152
2024-08-07,10.25,10.25,10.0,10.0,98,10.079,75
2024-08-08,10.1,10.28,10.09,10.16,313,10.171,122
2024-08-09,10.18,10.41,9.97,10.0,459,10.014,114
2024-08-12,10.0,10.11,9.83,9.9,491,9.954,143
2024-08-13,9.95,10.15,9.92,10.12,374,9.984,160
2024-08-14,10.18,10.25,10.02,10.07,227,10.142,54
2024-08-15,10.11,10.25,10.09,10.16,258,10.163,148
2024-08-16,10.15,10.25,10.1,10.18,140,10.201,109
2024-08-19,10.18,10.22,10.14,10.2,458,10.172,158
2024-08-20,10.11,10.21,10.01,10.16,209,10.137,102
2024-08-21,10.17,10.2,10.09,10.12,97,10.139,47
2024-08-22,10.08,10.08,9.92,9.92,113,9.996,67
2024-08-23,9.95,10.09,9.95,9.95,267,10.009,123
2024-08-26,9.94,10.09,9.91,10.03,1073,10.007,321
2024-08-27,9.94,10.41,9.92,10.1,880,10.151,352
2024-08-28,10.8,11.41,10.1,11.1,4960,10.789,2419
2024-08-29,11.28,11.39,10.99,11.07,398,11.229,198
2024-08-30,11.1,11.11,10.64,10.64,382,10.799,210
2024-09-03,10.65,10.72,10.5,10.59,319,10.604,195
2024-09-04,10.75,10.85,10.61,10.63,586,10.711,241
2024-09-05,10.65,10.65,10.31,10.36,371,10.45,214
2024-09-06,10.4,10.4,10.08,10.1,456,10.198,231
2024-09-09,10.01,10.19,9.95,9.99,982,10.06,448
2024-09-10,9.51,9.65,8.42,8.65,8196,8.918,1315
