date,open,high,low,close,volume,average,barCount
2024-05-23 00:00:00,8.75,8.77,8.26,8.33,3043,8.41,1818
2024-05-24 00:00:00,8.42,8.57,8.29,8.49,1585,8.471,992
2024-05-28 00:00:00,8.61,9.31,8.61,9.21,5659,9.182,3237
2024-05-29 00:00:00,9.13,9.33,9.04,9.12,3469,9.183,2404
2024-05-30 00:00:00,9.18,9.39,9.01,9.16,1669,9.253,1176
2024-05-31 00:00:00,9.18,9.33,9.16,9.3,1062,9.267,793
2024-06-03 00:00:00,9.27,9.31,8.88,8.88,1876,9.055,1291
2024-06-04 00:00:00,8.69,8.95,8.5,8.69,1621,8.643,1226
2024-06-05 00:00:00,8.79,8.89,8.67,8.88,1496,8.808,1111
2024-06-06 00:00:00,8.88,9.28,8.8,9.28,3499,9.175,2174
2024-06-07 00:00:00,9.22,9.42,9.02,9.34,2092,9.282,1455
2024-06-10 00:00:00,9.3,9.92,9.21,9.89,4457,9.728,2353
2024-06-11 00:00:00,9.81,9.99,9.56,9.9,2277,9.857,1299
2024-06-12 00:00:00,10.01,10.07,9.67,9.85,2287,9.831,1438
2024-06-13 00:00:00,9.78,9.88,9.57,9.74,1629,9.729,978
2024-06-14 00:00:00,9.65,9.82,9.55,9.71,1612,9.657,982
2024-06-17 00:00:00,9.65,9.74,9.41,9.52,2278,9.527,1302
2024-06-18 00:00:00,9.54,9.96,9.46,9.95,2666,9.756,1573
2024-06-20 00:00:00,9.95,10.08,9.91,9.99,1539,10.024,740
2024-06-21 00:00:00,10.08,10.08,9.58,9.66,1646,9.749,1172
2024-06-24 00:00:00,9.67,10.37,9.66,10.23,2899,10.083,1331
2024-06-25 00:00:00,10.25,10.36,10.05,10.35,1141,10.263,555
2024-06-26 00:00:00,10.38,10.38,10.12,10.19,1026,10.202,667
2024-06-27 00:00:00,10.23,10.4,10.19,10.3,1519,10.272,911
2024-06-28 00:00:00,10.3,10.34,9.58,9.67,1830,9.79,1027
2024-07-01 00:00:00,9.71,9.81,9.46,9.61,2745,9.603,1074
2024-07-02 00:00:00,9.72,9.89,9.56,9.87,1142,9.765,701
2024-07-03 00:00:00,9.9,10.19,9.9,10.09,815,10.104,441
2024-07-05 00:00:00,10.31,10.33,9.75,9.93,1309,9.916,817
2024-07-08 00:00:00,9.68,10.14,9.68,10.02,1548,9.966,677
2024-07-09 00:00:00,9.89,9.98,9.55,9.66,1481,9.735,771
2024-07-10 00:00:00,9.72,10.0,9.61,9.86,2207,9.837,1009
2024-07-11 00:00:00,9.95,10.03,9.74,10.02,787,9.93,407
2024-07-12 00:00:00,10.05,10.08,9.78,9.87,715,9.888,361
2024-07-15 00:00:00,9.9,10.1,9.73,10.05,1469,9.957,511
2024-07-16 00:00:00,9.91,10.03,9.8,9.95,1064,9.901,556
2024-07-17 00:00:00,9.95,10.35,9.86,9.96,1619,10.064,669
2024-07-18 00:00:00,10.02,10.09,9.89,10.05,804,9.999,494
2024-07-19 00:00:00,9.93,10.1,9.64,9.65,1675,9.792,713
2024-07-22 00:00:00,9.71,9.71,9.37,9.71,1225,9.607,634
2024-07-23 00:00:00,9.71,9.72,9.42,9.62,951,9.545,505
2024-07-24 00:00:00,9.59,9.74,9.35,9.41,2146,9.509,919
2024-07-25 00:00:00,9.33,9.36,9.05,9.29,2113,9.222,1108
2024-07-26 00:00:00,9.29,9.34,9.16,9.29,1423,9.247,767
2024-07-29 00:00:00,9.29,9.49,9.1,9.2,1739,9.25,972
2024-07-30 00:00:00,9.11,9.17,8.52,8.77,3521,8.771,1487
2024-07-31 00:00:00,8.89,9.38,8.8,9.28,2982,9.169,1755
2024-08-01 00:00:00,9.38,9.38,8.29,8.58,3200,8.535,1541
2024-08-02 00:00:00,8.52,8.52,7.71,7.73,4301,7.913,2057
2024-08-05 00:00:00,7.33,7.65,6.11,7.64,3587,7.203,1562
2024-08-06 00:00:00,7.67,7.86,7.52,7.54,1008,7.675,680
2024-08-07 00:00:00,7.65,7.87,7.5,7.57,2303,7.666,1286
2024-08-08 00:00:00,7.57,7.87,7.52,7.83,2176,7.768,910
2024-08-09 00:00:00,7.87,7.93,7.68,7.88,1651,7.829,708
2024-08-12 00:00:00,7.98,8.27,7.91,8.21,1984,8.148,925
2024-08-13 00:00:00,8.21,8.32,8.08,8.23,1064,8.223,520
2024-08-14 00:00:00,8.26,8.26,7.94,8.23,1449,8.123,817
2024-08-15 00:00:00,8.36,8.65,8.26,8.55,1451,8.505,616
2024-08-16 00:00:00,8.44,8.67,8.42,8.66,1301,8.581,540
2024-08-19 00:00:00,8.59,8.78,8.47,8.53,1269,8.581,737
2024-08-20 00:00:00,8.45,8.45,7.64,7.81,5532,7.855,2753
2024-08-21 00:00:00,7.92,7.95,7.73,7.83,1933,7.839,1158
2024-08-22 00:00:00,7.84,7.86,7.58,7.64,1948,7.685,993
2024-08-23 00:00:00,7.69,7.84,7.62,7.71,1254,7.715,774
2024-08-26 00:00:00,7.85,8.02,7.79,7.93,1649,7.874,946
2024-08-27 00:00:00,7.85,7.9,7.67,7.84,1814,7.776,1000
2024-08-28 00:00:00,7.83,7.97,7.73,7.84,988,7.824,688
2024-08-29 00:00:00,7.9,7.9,7.61,7.64,1853,7.712,1033
2024-08-30 00:00:00,7.58,7.58,7.27,7.37,2444,7.368,1498
2024-09-03 00:00:00,7.24,7.26,6.58,6.66,5096,6.718,2724
2024-09-04 00:00:00,6.67,6.83,6.53,6.69,1559,6.668,985
2024-09-05 00:00:00,6.78,6.78,6.56,6.62,1485,6.639,982
2024-09-06 00:00:00,6.64,6.7,6.36,6.61,2773,6.533,1715
2024-09-09 00:00:00,6.63,6.64,6.26,6.3,2985,6.396,1696
2024-09-10 00:00:00,6.26,6.26,5.96,6.03,3497,6.033,1447
2024-09-11 00:00:00,5.97,6.08,5.83,5.88,1934,5.894,934
2024-09-12 00:00:00,5.91,6.01,5.78,5.87,4864,5.851,2868
