date,open,high,low,close,volume,average,barCount
2024-05-23 00:00:00,2.22,2.255,2.18,2.24,1771,2.21765,1168
2024-05-24 00:00:00,2.24,2.31,2.18,2.31,802,2.24953,499
2024-05-28 00:00:00,2.34,2.36,2.275,2.29,1069,2.31963,740
2024-05-29 00:00:00,2.23,2.26,2.185,2.23,1082,2.23247,759
2024-05-30 00:00:00,2.23,2.27,2.225,2.27,814,2.24749,460
2024-05-31 00:00:00,2.26,2.31,2.225,2.27,617,2.26326,430
2024-06-03 00:00:00,2.28,2.285,2.235,2.27,588,2.2637,437
2024-06-04 00:00:00,2.23,2.235,2.14,2.22,1551,2.19337,852
2024-06-05 00:00:00,2.22,2.36,2.215,2.32,994,2.29671,462
2024-06-06 00:00:00,2.33,2.43,2.3,2.37,1177,2.37522,645
2024-06-07 00:00:00,2.32,2.325,2.2234,2.24,650,2.25607,337
2024-06-10 00:00:00,2.19,2.25,2.19,2.21,716,2.20924,332
2024-06-11 00:00:00,2.19,2.32,2.19,2.29,663,2.26133,481
2024-06-12 00:00:00,2.38,2.455,2.35,2.38,1690,2.39182,782
2024-06-13 00:00:00,2.36,2.36,2.23,2.28,1448,2.27819,602
2024-06-14 00:00:00,2.24,2.244,2.155,2.2,867,2.19427,463
2024-06-17 00:00:00,2.18,2.19,2.16,2.18,481,2.17706,354
2024-06-18 00:00:00,2.15,2.185,2.08,2.09,958,2.12976,410
2024-06-20 00:00:00,2.09,2.13,2.03,2.07,1312,2.08892,538
2024-06-21 00:00:00,2.06,2.13,2.055,2.09,1985,2.07216,428
2024-06-24 00:00:00,2.12,2.13,2.03,2.09,650,2.08227,360
2024-06-25 00:00:00,2.06,2.09,2.03,2.03,617,2.05399,294
2024-06-26 00:00:00,2.05,2.08,2.0,2.04,823,2.04776,475
2024-06-27 00:00:00,2.04,2.1,2.03,2.07,657,2.0615,445
2024-06-28 00:00:00,2.09,2.13,2.03,2.07,1795,2.0788,711
2024-07-01 00:00:00,2.05,2.1225,2.0,2.05,1860,2.04114,819
2024-07-02 00:00:00,2.05,2.16,2.02,2.12,1159,2.11497,475
2024-07-03 00:00:00,2.12,2.12,2.075,2.08,496,2.09045,239
2024-07-05 00:00:00,2.05,2.08,2.04,2.07,1155,2.05925,473
2024-07-08 00:00:00,2.09,2.155,2.062,2.15,1115,2.11338,646
2024-07-09 00:00:00,2.12,2.13,1.95,1.95,2148,2.00365,980
2024-07-10 00:00:00,1.97,2.0,1.88,1.97,1201,1.92966,559
2024-07-11 00:00:00,2.03,2.11,2.01,2.11,1280,2.06065,679
2024-07-12 00:00:00,2.11,2.155,2.07,2.11,1369,2.10492,458
2024-07-15 00:00:00,2.14,2.1501,2.11,2.14,1065,2.13241,553
2024-07-16 00:00:00,2.14,2.21,2.13,2.2,1082,2.1644,558
2024-07-17 00:00:00,2.16,2.2191,2.12,2.14,809,2.15908,452
2024-07-18 00:00:00,2.14,2.15,2.042,2.06,712,2.09425,414
2024-07-19 00:00:00,2.05,2.05,2.004,2.04,899,2.03223,397
2024-07-22 00:00:00,2.05,2.12,1.985,2.12,714,2.05966,359
2024-07-23 00:00:00,2.1,2.19,2.099,2.17,929,2.16442,577
2024-07-24 00:00:00,2.17,2.22,2.045,2.09,1922,2.08747,1011
