date,open,high,low,close,volume,average,barCount
2024-05-28 20:00:00,198.0,198.99,196.89,198.11,31319,198.09,20291
2024-05-29 20:00:00,198.56,199.85,198.4,199.33,35617,199.255,22813
2024-05-30 20:00:00,199.3,203.3,198.35,202.63,52029,200.717,31760
2024-06-02 20:00:00,202.31,202.42,199.19,201.82,30894,200.901,19382
2024-06-03 20:00:00,200.16,201.98,198.28,199.16,38745,199.548,24318
2024-06-04 20:00:00,199.76,199.82,196.92,197.26,52182,197.813,32550
2024-06-05 20:00:00,197.26,198.02,195.33,196.91,42083,196.855,25562
2024-06-06 20:00:00,197.43,200.92,197.01,199.95,39351,199.778,23229
2024-06-09 20:00:00,199.24,200.84,198.44,199.61,30939,199.576,20137
2024-06-10 20:00:00,197.91,197.94,193.6,194.36,48262,194.755,29029
2024-06-11 20:00:00,196.0,196.72,191.31,191.53,80570,192.926,49288
2024-06-12 20:00:00,192.32,194.58,190.88,193.66,49637,192.993,28222
2024-06-13 20:00:00,191.45,194.86,191.42,193.78,35637,193.386,20699
2024-06-16 20:00:00,193.48,195.58,192.64,194.98,43565,194.677,26044
2024-06-17 20:00:00,194.6,197.96,194.13,197.0,45922,196.642,25675
2024-06-19 20:00:00,196.39,199.45,196.11,198.67,48296,197.78,29205
2024-06-20 20:00:00,196.85,197.17,194.22,196.3,93106,195.992,41538
2024-06-23 20:00:00,197.81,199.23,197.1,198.88,49002,198.516,30605
2024-06-24 20:00:00,198.09,200.07,197.74,198.07,37111,198.739,24220
2024-06-25 20:00:00,197.45,197.94,196.27,197.43,33353,197.083,22222
2024-06-26 20:00:00,197.44,199.86,196.9,199.17,39426,198.872,23602
2024-06-27 20:00:00,200.01,202.6,199.3,202.26,52903,201.524,32649
2024-06-30 20:00:00,202.84,207.09,202.66,205.45,55722,205.749,33232
2024-07-01 20:00:00,205.29,208.86,204.77,208.83,41431,207.005,23660
2024-07-02 20:00:00,209.55,210.38,207.65,208.69,31468,208.495,20144
2024-07-04 20:00:00,206.99,207.37,204.52,204.79,42756,205.303,26083
2024-07-07 20:00:00,204.98,206.9,203.97,205.17,48120,205.173,26319
2024-07-08 20:00:00,205.63,209.76,205.45,207.63,48171,207.927,29671
2024-07-09 20:00:00,206.14,207.97,205.58,207.8,41102,207.176,26471
2024-07-10 20:00:00,206.32,208.1,205.38,207.45,55657,207.125,35727
2024-07-11 20:00:00,204.0,207.45,202.1,204.94,97575,204.673,55286
2024-07-14 20:00:00,207.19,211.61,206.72,210.05,60246,209.462,33884
2024-07-15 20:00:00,210.0,213.74,208.08,213.62,62279,211.602,37136
2024-07-16 20:00:00,213.8,217.56,213.27,216.87,66763,215.854,40715
2024-07-17 20:00:00,215.63,216.64,209.23,209.98,62996,211.996,36502
2024-07-18 20:00:00,211.2,212.35,208.92,209.78,45351,210.608,26488
2024-07-21 20:00:00,210.46,212.17,209.71,210.28,37978,210.724,24210
2024-07-22 20:00:00,211.02,211.48,209.35,210.33,27088,210.57,16536
2024-07-23 20:00:00,209.55,212.03,208.07,208.59,34930,209.975,22151
2024-07-24 20:00:00,208.88,210.19,208.05,208.67,33157,209.085,20858
2024-07-25 20:00:00,209.24,213.16,208.62,212.24,43878,212.046,26392
2024-07-28 20:00:00,212.65,213.61,210.54,210.85,32174,211.315,19398
2024-07-29 20:00:00,213.23,215.79,212.96,215.19,45820,214.563,26745
2024-07-30 20:00:00,214.78,216.39,212.67,212.8,46182,214.566,28145
2024-07-31 20:00:00,213.2,213.83,206.38,207.96,58233,208.864,38249
2024-08-01 20:00:00,203.88,204.67,196.89,199.14,104882,199.505,62756
2024-08-04 20:00:00,194.05,196.17,190.9,194.9,82124,194.219,43176
2024-08-05 20:00:00,195.4,202.6,194.0,200.34,61058,199.715,36703
2024-08-06 20:00:00,203.51,205.75,200.2,200.4,50336,202.666,30615
2024-08-07 20:00:00,202.47,204.91,201.79,204.06,39001,203.84,22731
2024-08-08 20:00:00,203.47,206.47,202.9,205.8,30156,205.513,17610
2024-08-11 20:00:00,206.41,207.14,203.66,206.19,29675,205.945,17830
2024-08-12 20:00:00,207.73,208.09,205.4,207.94,33503,206.918,20460
2024-08-13 20:00:00,207.74,210.76,207.12,210.24,35450,209.381,20208
2024-08-14 20:00:00,213.0,213.89,211.1,211.55,29653,211.857,17500
2024-08-15 20:00:00,211.69,214.09,211.58,213.97,33250,213.245,17910
2024-08-18 20:00:00,214.0,215.53,213.82,215.45,26686,214.929,15146
2024-08-19 20:00:00,215.0,216.0,213.68,214.52,26330,214.741,14770
2024-08-20 20:00:00,214.43,215.0,212.84,214.6,24822,214.041,13925
2024-08-21 20:00:00,214.58,216.8,214.33,216.63,27568,215.819,15863
2024-08-22 20:00:00,217.6,219.19,216.5,218.31,38357,217.954,22631
2024-08-25 20:00:00,219.01,219.68,218.05,219.17,27463,218.811,13917
2024-08-26 20:00:00,219.51,220.42,219.19,220.18,26338,219.911,13244
2024-08-27 20:00:00,219.25,222.21,219.19,221.29,34480,220.799,19429
2024-08-28 20:00:00,222.15,222.98,218.94,222.21,32368,221.754,19295
2024-08-29 20:00:00,222.5,225.48,221.93,224.8,32897,223.555,19041
2024-09-02 20:00:00,222.3,224.1,219.24,220.3,48106,221.393,28856
2024-09-03 20:00:00,221.04,222.07,217.21,219.33,40679,219.735,25588
2024-09-04 20:00:00,220.15,220.8,216.03,217.63,43576,218.028,24919
2024-09-05 20:00:00,217.6,218.74,211.09,212.46,40460,214.139,24690
2024-09-08 20:00:00,215.19,218.15,214.17,216.81,40245,216.637,23177
