date,open,high,low,close,volume,average,barCount
2024-05-28,2.34,2.43,2.3,2.41,8798,2.34926,3996
2024-05-29,2.35,2.355,2.285,2.29,5728,2.30395,2484
2024-05-30,2.34,2.34,2.295,2.34,3639,2.31986,1813
2024-05-31,2.35,2.4791,2.3407,2.43,5596,2.43249,2834
2024-06-03,2.48,2.56,2.42,2.52,8186,2.48987,3206
2024-06-04,2.49,2.76,2.49,2.75,8945,2.6861,4065
2024-06-05,2.78,3.01,2.77,2.98,9530,2.92848,4377
2024-06-06,2.98,3.02,2.93,2.93,8494,2.95775,4538
2024-06-07,2.9,2.99,2.75,2.78,8647,2.79755,4579
2024-06-10,2.74,2.84,2.7001,2.76,5757,2.79523,3004
2024-06-11,2.7,2.8,2.64,2.8,4306,2.7614,2887
2024-06-12,2.92,3.02,2.8,2.93,9379,2.95555,5226
2024-06-13,2.92,2.94,2.745,2.77,6833,2.78351,3905
2024-06-14,2.72,2.835,2.64,2.82,8029,2.75288,4136
2024-06-17,2.77,2.865,2.75,2.81,5310,2.8023,2663
2024-06-18,2.8,2.84,2.725,2.81,3695,2.80712,2056
2024-06-20,2.8,2.88,2.79,2.83,3790,2.8302,2260
2024-06-21,2.82,2.82,2.545,2.62,16485,2.69586,5380
2024-06-24,2.66,2.765,2.65,2.71,6602,2.70307,3783
2024-06-25,2.7,2.74,2.65,2.73,4962,2.69298,2885
2024-06-26,2.68,2.74,2.655,2.7,5387,2.68471,2735
2024-06-27,2.73,2.97,2.7,2.97,7518,2.88233,3615
2024-06-28,2.98,3.06,2.925,3.05,7493,2.99376,3507
2024-07-01,3.09,3.105,2.96,3.01,7023,3.02044,3228
2024-07-02,3.03,3.215,2.99,3.18,5794,3.11916,2713
2024-07-03,3.24,3.24,3.115,3.17,2814,3.16409,1464
2024-07-05,3.17,3.21,3.12,3.2,3015,3.16056,1590
2024-07-08,3.19,3.29,3.135,3.22,4630,3.19904,2267
2024-07-09,3.21,3.21,3.09,3.15,3519,3.13367,1987
2024-07-10,3.16,3.18,3.12,3.15,3820,3.14939,2017
2024-07-11,3.3,3.42,3.235,3.42,12173,3.34796,4826
2024-07-12,3.49,3.5,3.34,3.36,5421,3.37394,2541
2024-07-15,3.4,3.4,3.26,3.35,5414,3.336,3314
2024-07-16,3.37,3.49,3.3356,3.43,8535,3.42621,4393
2024-07-17,3.38,3.425,3.32,3.36,14459,3.37198,4353
2024-07-18,3.34,3.34,3.095,3.12,5264,3.19226,2251
2024-07-19,3.14,3.265,3.12,3.15,4900,3.189,2546
2024-07-22,3.15,3.205,3.08,3.18,3877,3.14328,1958
2024-07-23,3.16,3.445,3.12,3.39,25170,3.2764,5709
2024-07-24,3.36,3.415,3.29,3.3,4586,3.34972,2747
2024-07-25,3.3,3.46,3.23,3.37,4883,3.38293,2608
2024-07-26,3.44,3.45,3.36,3.38,5860,3.39908,2785
2024-07-29,3.39,3.405,3.32,3.38,6357,3.37246,3369
2024-07-30,3.41,3.45,3.32,3.34,3284,3.35552,1680
2024-07-31,3.35,3.43,3.325,3.34,6242,3.36057,3123
2024-08-01,3.35,3.4,3.24,3.29,11205,3.28563,4871
2024-08-02,3.09,3.31,2.91,3.25,8530,3.23888,4059
